listing_id,title,deal_type,deposit,monthly_rent,size_m2,floor
2571530617,동대문구 힐스테이트 #5,sale,200000000,0,266.3,24/31
2579534194,동대문구 아이파크 #6,sale,1300000000,0,284.6,36/37
2581153586,동대문구 자이 #7,sale,400000000,0,192.1,6/12
2527202367,동대문구 래미안 #10,sale,800000000,0,184.0,17/18
2515273232,동대문구 롯데캐슬 #12,sale,1200000000,0,295.3,11/16
2544596040,동대문구 힐스테이트 #14,sale,400000000,0,281.5,12/21
2549643897,동대문구 래미안 #24,sale,1900000000,0,185.5,17/21
2534808750,동대문구 아이파크 #27,sale,300000000,0,168.0,23/23
2519058221,동대문구 힐스테이트 #28,sale,1100000000,0,88.7,16/24
2523421584,동대문구 아이파크 #32,sale,1600000000,0,161.6,18/26
2558175034,동대문구 자이 #42,sale,1400000000,0,60.4,10/16
2590943137,동대문구 롯데캐슬 #43,sale,1400000000,0,234.0,30/37
2558728432,동대문구 아이파크 #44,sale,400000000,0,138.7,9/14
2527591292,동대문구 힐스테이트 #52,sale,1800000000,0,58.4,15/17
2531237600,동대문구 푸르지오 #55,sale,1900000000,0,52.1,23/29
2546974684,동대문구 롯데캐슬 #61,sale,1900000000,0,67.1,16/19
2537093136,동대문구 푸르지오 #62,sale,900000000,0,226.2,13/15
2574479482,동대문구 자이 #66,sale,1100000000,0,97.8,20/22
2530962661,동대문구 롯데캐슬 #77,sale,500000000,0,20.5,19/22
2540330058,동대문구 더샵 #78,sale,1900000000,0,99.1,23/31
2596915130,동대문구 자이 #84,sale,1100000000,0,74.3,26/30
2534342125,동대문구 아이파크 #91,sale,1600000000,0,221.9,6/9
2524840750,동대문구 힐스테이트 #96,sale,300000000,0,273.5,12/18
2547252208,동대문구 힐스테이트 #110,sale,600000000,0,216.6,3/7
2585952855,동대문구 더샵 #124,sale,1000000000,0,168.4,8/11
2508948830,동대문구 푸르지오 #128,sale,600000000,0,218.5,10/17
2575898522,동대문구 롯데캐슬 #129,sale,1400000000,0,298.1,5/9
2588919421,동대문구 롯데캐슬 #133,sale,1600000000,0,272.8,12/13
2527910301,동대문구 푸르지오 #155,sale,1800000000,0,210.8,4/10
2537868692,동대문구 래미안 #159,sale,1500000000,0,48.0,12/16
2581918110,동대문구 힐스테이트 #160,sale,1200000000,0,156.8,40/44
2518993004,동대문구 더샵 #161,sale,1900000000,0,197.8,24/33
2589836434,동대문구 더샵 #162,sale,600000000,0,260.2,14/18
2573343645,동대문구 힐스테이트 #170,sale,1000000000,0,89.5,14/24
2571563334,동대문구 자이 #182,sale,1300000000,0,202.7,32/35
2538726730,동대문구 아이파크 #192,sale,1900000000,0,286.1,33/39
2511109202,동대문구 더샵 #194,sale,300000000,0,169.3,28/30
2525052116,동대문구 아이파크 #197,sale,1200000000,0,79.3,34/34
2534912161,동대문구 아이파크 #198,sale,600000000,0,210.3,13/18
2510738931,동대문구 더샵 #207,sale,1200000000,0,26.9,10/18
2505712198,동대문구 푸르지오 #211,sale,1900000000,0,97.7,5/9
2559614026,동대문구 더샵 #226,sale,400000000,0,292.0,19/27
2598746341,동대문구 푸르지오 #241,sale,1100000000,0,215.7,36/43
2577314917,동대문구 더샵 #242,sale,700000000,0,258.3,24/25
2594744407,동대문구 아이파크 #245,sale,1500000000,0,249.6,7/12
2574771081,동대문구 아이파크 #248,sale,1100000000,0,269.7,17/18
2583466612,동대문구 푸르지오 #251,sale,200000000,0,114.2,39/49
2533987564,동대문구 아이파크 #254,sale,100000000,0,208.5,20/20
2593533772,동대문구 롯데캐슬 #274,sale,1000000000,0,157.8,20/30
2563384220,동대문구 롯데캐슬 #285,sale,900000000,0,127.7,12/17
2526875695,동대문구 더샵 #286,sale,900000000,0,26.8,24/31
2587189222,동대문구 롯데캐슬 #290,sale,800000000,0,105.7,20/25
